bangla_text,reaction
আমি  পর্ব এক বছর আগে শেষ করেছি আবার  শেষ করলাম আলহামদুলিল্লাহ,Positive
আল্লাহ সব কিছুর মালিক,Positive
মক্কার বাগানে ফুটিলো এক ফুল নাম রাখিল তার মুহাম্মদ রাসূল সা সুবাস ছড়িয়ে গেলো সারা বিশ্বে আল্লাহ দিলেন তার মর্যাদা সবার শীর্ষে ️,Positive
আল্লাহ আকবার আমরা ইয়াকুবের মতো এক খোদায় বিশ্বাসী  হে নবী আপনি বলে দিন আল্লাহ এক,Positive
পর্ব থেকে পর্ব দেখেছি মন ভরেনা  আবার শুরু করলাম সেস পরজন্ত দেখার জন্য,Positive
আমি  মাসের পেগনেন্ট  সবাই আমার জন্য দোয়া করবেন আমার যেনো একটা ছেলে  হয় আর সেটা  ইউসুফ নবীর মতন সুন্দর আর আদর্শবান হয় ওকে আমি আল্লাহর রাস্তা ছেরে দিবোআমিন,Positive
আলহামদুলিল্লাহ্   পর্ব পর্যন্ত দেখছি  কিন্তু যতই দেখি মন ভরে না  তাই আবার শুরু করছি ,Positive
আল্লাহ সর্বশক্তিমান,Positive
তবে আল্লাহ্ তালা প্রায় সকল নবী রাসূলকেই সে সময়কার ক্ষমতাধর পরিবারের আত্মীয় হিসেবে পাঠিয়েছিলেন কত মহান ও বুদ্ধিমান সেই সত্তা,Positive
আমি আগে  বার দেখছি আবারও দেখতে ইচ্ছে করছে এখন আবারও ইউসুফ জুলেখা আমি দেখা শুরু করলাম আজ থেকে,Positive
আলহামদুলিল্লাহ আল্লাহ সবকিছু মহান,Positive
আল্লাহ যেন সবাইকে ভালো রাখেন  আমিন,Positive
আজ থেকে দেখতেছি আল্লাহ্ তায়ালা  যেনো দেখার তৌফিক  দেন,Positive
আমি একবার  দেখছি তবুও মন ভরে আমি আবার  দেখছি যত দেখি তত মন ভরে যায়,Positive
আমি জানি এটা একটা  সিরিজ তাও জানিনা কেন এত ভালো লাগে কি বলবো এ নিয়ে অনেক বার দেখলাম যত দেখি ততই ভালো লাগে আল্লাহ সবাইকে সঠিক দিনে চলার তৌফিক দান করুক,Positive
আল্লাহ আমাদের সবাইকে হেদায়েত দান করুক আমিন,Positive
আজ চার দিন হয়  পর্ব শেষ করলাম আজ আবার নতুন করে দেখছি মন চাই বার বার দেখি,Positive
আমরা ষেষ নবির উম্মদ আমাদের নবি কতো কষ্ট করেছেন  উম্মতের জন্য,Positive
আল্লাহ আমদের  হেদায়েত ধান করেন আমিন,Positive
বোনকে আললাহ সুসন্তান দান করুন এবং তার ওয়াদা পুরন করা তাওয়াফিক দিন আমিন,Positive
আলহামদুলিল্লাহ আমার খুব ️ভালো লাগলো ভিডিও টা,Positive
"আমি একবার দেখে শেষ করছি, আবার দেখা শুরু করলাম আলহামদুলিল্লাহ",Positive
আমার ছয় মাস চলে সবাই দোয়া করবেন আল্লাহ যেন আমাকে একটি নেক সন্তান দান করেন,Positive
আরো  বছর পরও জারা এই আমাদের ইয়াকুব নবীর কাহীনি টি দেখবে তারা বুঝতে পারবে আমাদের ইসলাম কতোটা শান্তির এবং কতোটা শক্তি শালি ছিলো,Positive
আলহামদুলিল্লাহ ঈমানের পাওয়ার এত বেশি যে বাতিলরা কখনো টিকে থাকতে পারেনি আমি একজন মুসলিম হিসেবে গর্বিত আল্লাহু আকবার,Positive
কেঁদে ফেলেছি এই পর্বটি দেখে আল্লাহ মহান এক এবং অদ্বিতীয় ইসলাম শান্তির ধর্ম,Positive
প্রথমের কোরআন  তেলআত অনেক সুন্দর,Positive
প্রিজে পানি রাখলে পানি ঠান্ডা হয় আর বুকে কোরআন রাখলে কলিজা ঠান্ডা হয়,Positive
আল্লাহ এক অদ্বিতীয় আল্লাহ সর্বশক্তিমান,Positive
নিঃসন্দেহে ইসলাম এক সত্য ও শান্তির ধর্ম   ,Positive
ইসলাম মানেই শান্তি,Positive
ইসলাম ধর্ম ছাড়া অন্য কোনো ধর্মে আমি বিশ্বাসী নয়   আল্লাহ্ দুনিয়ার ফেতনা ও দাজ্জাল এর ফেতনা থেকে সবাইকে রক্ষা করুন আমিন,Positive
সুবহানাল্লাহ সুবহানাল্লাহ সুবহানাল্লাহ আমার রব মহান পবিত্র শান্তিদাতা সর্বশ্রেষ্ঠ,Positive
ও আল্লাহ আমার গায়ের লোম দাঁড়িয়ে গেলো আমিন আমাদের ঈমান কে  ঈমানের শক্তি বাড়িয়ে দিন,Positive
গল্পে যারা কন্ঠ দিয়েছে তাদের প্রত্যেকের কন্ঠ এক কথায় অসাধারন,Positive
আল্লাহ আকবার আমরাও ইয়াকুব নবীর মতো এক খোদায় বিশ্বাসী হে নবী আপনি বলে দিন আল্লাহ এক,Positive
নিঃসন্দেহে ইসলামই একমাত্র আল্লাহর মনোনীত ধর্ম আল্লাহ সকল মুসলিমকে সুস্থ ও নেক হায়াত দান করুন সবাইকে ক্ষমা করুন আমিন,Positive
এমন ইসলামিক সিরিজ জীবনকে বদলে দেয়,Positive
আজ আমাদের যুবসমাজ অন্ধকার জগৎ এর মাঝে ডুবে গেছি  আমাদের উচিৎ আমাদের ইসলাম ধর্ম সম্পর্কে সচেতন  হওয়া এক আল্লাহর আনুগত্য করা,Positive
এটা আমার আল্লাহর ক্ষমতা আল্লাহ ছাড় দেয় ছেড়ে দেন না,Positive
সত্যি এতো সুন্দর সিরিয়াল আল্লহর উপর আমার ইমান আরো বেড়ে যায়,Positive
আমিন আল্লাহ আমাদের ঈমানের শক্তি বাড়িয়ে দিন,Positive
নবী রাসূলের অনেক ত্যাগ তিতিক্ষার পরে আমরা ইসলাম পেয়েছি হায় আফসোস আজও আমরা তার সঠিক মূল্যায়ন করি না,Positive
আমাদের নবী রাসুলরা ইসলামের জন্য কত কষ্ট করে আমাদের ইসলাম রেখে গেছেন,Positive
ইসলাম একমাএ শান্তির ধর্ম ,Positive
সালে এই কমেন্ট টা করে রাখলাম পারে যারা দেখবেন তাদের জন্য লাইক আর কমেন্টে রিপ্লে দিবেন আশা করছি  আল্লাহ এক তার কোনো শরিক নাই,Positive
ইসলাম একমাত্র আল্লাহর মনোনীত ধর্ম আলহামদুলিল্লাহ হাজার শুকরিয়া যে মহান আল্লাহ মুসলমান হিসেবে কবুল করেছেন,Positive
লাইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ,Positive
গত কয়েক বছর ধরে কয়বার দেখছি নিজে ও জানি না তবু ভালো লাগে আল্লাহ মহান কুরআনের তিলাওয়াত আর ইউসুফ আ এর কষ্ট জর্জরিত কাহিনী হৃদয়ে টনক নাড়ে কত কষ্ট আর ত্যাগ স্বীকার করতে হয়েছে।,Positive
এই পর্বে দেখলামমহান আল্লাহ তায়ালা ইসতার নামক শয়তান এবং শয়তানের অনুসারীদের শিক্ষা দিলেনআল্লাহ তুমি মহান হে আল্লাহআমাকে হেফাজত করুমহেদায়েত দিন,Positive
আল্লাহ তায়ালা বলেছেন হে আমার বান্দা তোমরা কখনো  হাড় মাইনো না আমার উপর যে বিশ্বাস রাখবে আমি তাকে সমস্ত বিপদ আপদে রক্ষা করবেো এখানে এটা বুঝানো হয়েছে,Positive
এত সুন্দর সিরিয়াল মাশাল্লাহ,Positive
এই পর্বটি সত্যি অসাধারণ ও আল্লাহর অস্তিত্ব প্রমাণের নিদর্শন,Positive
আমরা কথই না সুবাগ্যবান কারণ আমরা মুসলিম,Positive
আমার বউ আজ  মাস হলো প্রেগনেন্ট তার জন্য দোয়া করবেন আল্লাহ তাকে একটা নেক সন্তান দান করুক আমিন,Positive
আল্লাহু আকবার আল্লাহ্ মহান সুবহানাল্লাহ্ আল্লাহ্ এক অধিতিও,Positive
হে মহান  আল্লাহ  তুমি  আমার ইমানের  শণ্ডি,Positive
সুবহানাল্লাহ  আল্লাহ সর্বশক্তিমান আল্লাহু আকবার,Positive
আলহামদুলিল্লাহ আমি মুসলিম,Positive
ইসলামের জয় হোকআমিন সুম্মা আমিন,Positive
আল্লাহ মহান আল্লাহ সর্ব শক্তিমান,Positive
আলহামদুলিল্লাহ  খুব সুন্দর ️ হয়েছে ভিডিও টি খুব ভালো লাগলো,Positive
আল্লাহ  সর্ব শক্তি মান  আমার রভ আল্লাহ,Positive
সুবাহানাল্লহ,Positive
আমার নবী দের কাহিনী  ভালো লাগে,Positive
সুবহানাল্লাহ সুবহানাল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ,Positive
সুবহানাল্লাহ আলহামদুলিল্লাহ আল্লাহু আকবার লা ইলাহা ইল্লাল্লাহ মুহাম্মাদুর রাসুলুল্লাহ,Positive
সুবহানাল্লাহ,Positive
আমার র্গবত যে আমার  শেষ নবী র উমত,Positive
মহান আল্লাহ এক ও অদ্বিতীয়,Positive
আল্লাহ এক তার কোনো শরিক নেই,Positive
আল্লাহ তুমি আমাকে তোমার ঈমানকে কাজে লাগার তোফিক দান করুন,Positive
বাংলাদেশ খুলনা বিভাগ মেহেরপুর জেলা মুজিবনগর জীবন  আল্লাহ নবীদের আদর ও চরিত্র আমাদেরকে দান করো আমিন,Positive
আল্লাহু আকবার ️,Positive
আল্লাহ তুমি রহম করুন আমিন,Positive
সুবাহানআললাহ,Positive
ইসলাম একমাত্র মনোনীত ধর্ম,Positive
আল্লাহতায়ালা পরম করুনাময় দয়াময়  সর্ব শক্তিমান  তিনি সকল কিছুর মালিক আমরা সুদু একমাত্র তারই ইবাদতে বিশ্বাসী,Positive
আল্লাহ মহান সত্যি অনেক মহান হে আল্লাহ আমাদের হেদায়েত দান করুন,Positive
অন্ধবিশ্বাস তাই ঈমান এমনটাই শক্তিশালী,Positive
মাশাআল্লাহ  কি সুন্দর  আমাদের  ইউসুফ  নবি,Positive
অসংখ্য ধন্যবাদ  কে,Positive
আল্লাহ আকবার আল্লাহ আকবার,Positive
মনে আছে কি আমার নবী করীম সা এর আগমনে  মক্কার সব মুক্তি রা দশে পড়ছে আর রাজাদের সিংহাসন,Positive
ওয়াক্ত নামাজ কায়েম করবেন বাধ্যতামূলক ইনশাআল্লাহ নামাজের দাওয়াত দিলাম আলহামদুলিল্লাহ আল্লাহর জন্য নামাজ পড়ি এন্ড  ভালোবাসি,Positive
আললাহ মাফকরোন আমিন,Positive
আমি অনেক ভাগ্যপতি কারন আমি মুসলিম,Positive
পরম করুনাময় আল্লাহ তায়ালা ই একমাত্র হেফাজত কারি আমীন,Positive
অনেক সুন্দর,Positive
সত্যি খুবই সুন্দর,Positive
দারুন লাগে এ কাহিনী ️,Positive
আলহামদুলিললাহ মাশাআল্লাহ আললাহ আকবার আমিন,Positive
আল্লাহতালা মহান আল্লাহতালা সবকিছুর মালিক আল্লাহ তালা সবার  জন্য ভালো করে কিন্তু আমরা বুঝতে চান আল্লাহ আমাদের সবাইকে হেদায়েত দান করেন আল্লাহুম আমিন,Positive
অসাধারণ ছিল,Positive
আল্ল'হ সর্বশ্রেষ্ঠ,Positive
আলহামদুলিল্লাহ ভালো লাগলো,Positive
ভাইয়া সিরিয়ালের প্রথমে কোরান তিলোয়াতের ঐ টানটা কোন কারীর,Positive
খুব সুন্দর হয়েছে ভিডিও গুলো,Positive
অনেক  সুন্দর ছিল  ইউসুফ,Positive
ইউসুফ জুলেখা খুব সুন্দর৷ আমার  খুব ভালো৷ লাগল,Positive
আল্লাহুআকবর,Positive
নবিজীর গঠনা খুব ভালে লাগে,Positive
খুব সুন্দর,Positive
নিঃসন্দেহে ইসলাম এক সত্য ও শান্তির ধর্ম,Positive
এভাবেই একদিন ইসলামের পতাকা আবার উড়বে ইসলামের বিজয় হবে ইনশাল্লাহ শুধু সময়ের অপেক্ষা,Positive
হে আল্লাহ আমার শরীরের সবগুলো  লোম দাঁড়িয়ে গিয়েছে আল্লাহ সবাইকে ঈমানের শক্তি দান করো আর সবাইকে পাঁচ ওয়াক্ত নামাজ পড়ার তৌফিক দান করো আমিন,Positive
ইসলাম এক মাত্র শান্তির ধর্ম,Positive
আল্লাহ সর্ব শক্তিমান,Positive
পরম ঈশ্বর সকলের কল্যাণ করুক,Positive
সুবহানাল্লাহ আলহামদুলিল্লাহ আমানিল্লাহ ,Positive
সবগুলো পর্ব শেষ করে আবার প্রথম থেকে দেখতেছি,Positive
নতুন দেখা শুরু করলাম  আল্লাহ মহান ,Positive
আল্লাহ সবাইকে হেদায়েত দান করুক,Positive
ইসলাম সর্ব সক্তি মান,Positive
নির্শন্দেহে ইসলাম একটি শান্তির ধর্ম,Positive
আল্লাহ সবাইকে হিদায়াত দান করেন,Positive
আলহামদুলিল্লাহ তিন পর্ব শেষ করবো,Positive
মাশাআল্লাহ,Positive
আল্লাহ আকবার,Positive
এখানে কুরআনের তেলাওয়াত আমাকে অনেক ভালো লাগে,Positive
আল্লাহ আমাদেরকে সঠিক বোঝার তৌফিক দান করুন আমিন,Positive
আলহামদুলিল্লাহ ইসলামের উপর কোন ধর্ম নেই,Positive
মাশাআল্লাহ আলহামদুলিল্লাহ অনেক সুন্দর হয়েছে,Positive
ইসলামের একটি শান্তির ধর্ম,Positive
নিসন্দেহে ইসলাম সত্য এবং শান্তির ধর্ম,Positive
আমাদের মুসলিম ধর্ম এমন একটা ধর্ম যে,Positive
মাশাআল্লাহ আলহামদুলিল্লাহ,Positive
আমি সবাইকে উদ্দেশ্য করে একটা কথা বলতে চাই সবাই নবী রাসূলদের দেখানো পথ অনুসরণ করেন দেখবেন আল্লাহতালার কাছে প্রিয় বান্দা হিসেবে মনোনীত হবেন নিরিবিলি আল্লাহকে ডাকেন দেখবেন আল্লাহতালা আপনার সেই এবাদতকে কান্নাকে কবুল করে নিন আপনার মনের আশা পূর্ণ করে,Positive
আমার আল্লাহ সবচেয়ে মহান,Positive
আমি গর্বিত যে আমি একটা মুসলিম ধর্মের অধিকারী আমি আল্লাহতালার কাছে হাজার শুকরিয়া জ্ঞাপন করছি যে তিনি আমাকে ইসলাম ধর্মালম্বী জাতি হিসেবে পৃথিবীতে পাঠিয়েছেন যুগে যুগে হাজার হাজার নবী রাসূল এসেছেন তারা শুধু ইসলামেই জয়গান করেছেন হাজারো শত্রুর সাথে মোকাবেলা করেছে চতুর বাহুবল শক্তি বেশি থাকা সত্ত্বেও আল্লাহ তায়ালার অশেষ রহমতে নিরস্ত্র নবী রাসূলগণ জয়লাভ করেছেন,Positive
একবার দেখা সুরু করলে আর থামতে মন চায় না,Positive
আল্লাহ মহান,Positive
আলাহু আকবার,Positive
আমি গর্ভবির আমি ইসলাম ধর্ম পাইছি,Positive
আমার কাছে এই ভিডিওটি খুব বালো লাগলো  কিন্তু কয়টার সময়ে দেয়  প্লিজ প্লিজ   সবায় বলেদেন  আপনার কাছে দোয়া রইলো,Positive
নবী রা এত কষ্ট করে ইসলাম কে রেখেচপন,Positive
সুন্দর,Positive
আমার বার বার দেখতে ইচ্ছে হয়,Positive
আবার নতুন করে দেখা শুরু করলাম,Positive
নারিদের পরদায় রাখলে ভাল হয়,Positive
এতো সুন্দর তিলোয়াত জীবনে কখনো শ্রবণ করি নি আলহামদুলিল্লাহ,Positive
এই পর্ব টা দেখার পর চোখের পানি আর ধরে রাখতে পারলাম না,Positive
আল্লাহ ছাড়া কোন মাবুদ নেই,Positive
মাশাল্লাহ মনোমুগ্ধকর একটা নাটক   এই সালেও আসে যারা দেখছেন সারা দেন,Positive
কতবার তিলাওয়াত শুনলাম তারপর ও আমার মন ভরে না,Positive
ইউসুফের কথাগুলো মন চুয়ে যায় অসাধারণ যুদ্ধ আমাদের জয় আল্লাহর,Positive
আমরা ভাগ্যবান কারণ আমরা মুসলিম,Positive
একরা সন্তান জন্ম দিতে মা কত কষ্ট করে আল্লাহ তুমি সকল মাকে নেক হায়াত দান করো আমার মাকে হাজার বছর বাচিয়ে রাখো আমিন,Positive
যতই দেখি ততই ভালে লাগে বার দেখা হয়েছে,Positive
সকলে আমার বাবুর জন্য দোয়া করবেন আমি  মাসের অন্তঃসত্ত্বা আল্লাহ আমার সন্তানকে সুস্থ অবস্থায় আমার কোলে এনে দিন আমীন,Positive
সত্যিই এই পর্বটা খুবই কষ্টদায়ক ছিলো  সালের নভেম্বর এসেও  দেখে কান্না করলাম আল্লাহ যেন প্রত্যেক মা কে ভালো রাখেন আমিন,Positive
এই পর্ব টা অনেক কষ্ট বেদনাদায়ক দেখে চোখের পানি ধরে রাখতে পারলাম না,Positive
এক আল্লাহর উপর পূর্ণ ঈমান আনয়নকারীরা নিশ্চিত সফলতা অর্জন করবেই,Positive
আলহামদুলিল্লাহ  মন খারাপ থাকলে দেখি তাতে আমার মন ভালো হয়ে যায়,Positive
চোখে পানি চলে আসলো,Positive
সব পর্ব যে দেখেছে সে খুব ভাগ্যবান,Positive
এই পর্ব টা অনেক বেশি বেদনাদায়ক ছিলো অনেক খারাপ লেগেছে আল্লাহ সুবাহানালা তাআলা আমাদের সকলকে বিপদে ধৈর্য ধরার তাওফীক দান করুন,Positive
আমি মাসের  প্রেগনেন্ট সবাই মিলে দোয়া করবেন আমার জন্য আমার আল্লাহ তায়ালা আমাকে একটা জুলেখার মতো সুন্দর ও বুদ্ধিমতি  কন্যা সন্তান দান করেন আমীন,Positive
আল্লাহ যারাভুল পথে আছে তাদের সঠিক পথে আসার তৌফিক দান করুন,Positive
হে আল্ল′হ আমাদের হেদায়েত দান করুন,Positive
আমি  মাসের পেগনেন্ট এটা আমার প্রথম বাচ্চা আমার জন্য সবাই দোয়া করবেন জেন সুস্ত অবছ্তাই থাক,Positive
জীবন পরিবর্তন এর জন্য এই কাহিনী যথেষ্ট আল্লাহ তায়ালা এই কাহিনী আমার নবী মুহাম্মদ সল্লাল্লাহু আলাইহি কে নিজে শুনিয়েছে,Positive
ডিসেম্বর  তারিখ  সত্যি মন টা শিতল হয় গেলো আল্লাহ আমি আরো ইমান চাই,Positive
অল্লাহ সর্ব শক্তিমান,Positive
মাশাআল্লাহ অসাধারণ একটি সুন্দর সিরিয়াল ️,Positive
আমার একটা মেয়ে আছে তার বয়স বছর সবাই আমার জন্য  দোয়া করবেন যাতে আল্লাহ্ যেন ইউসুফের মতো সুন্দর একটা সন্তান  দান করেন এবং আপনাদের  মনের ইচ্ছা  পূরণ করেন আমিন,Positive
আল্লাহ সবাইকে হেফাজত করুক আমিন,Positive
আমার অনেক প্রিয় সিরিজ অনেক ভালো লাগে,Positive
আল্লাহ্ ছাড়া কনো মাবুদ নাই আল্লাহ্ এক,Positive
অনেক সুন্দর প্রতিটি  এপিসোড,Positive
ইয়া আল্লাহ আমাদের কবুল করুন,Positive
বেনিয়ামিনের জন্ম  দিনে আমি খুব খুশি হয়েছি,Positive
আলহামদুলিল্লাহ শেষ করলাম পর্ব,Positive
খুব ভালে লেগেছে,Positive
অনেক ভালো লাগছে এই নাটকটি,Positive
খুব সুন্দর হয়েছে মাশাআল্লাহ অসাধারণ,Positive
ব্রিফিং টা এতো সুন্দর কি বলবো,Positive
আল্লাহ সবাইকে হেদাদায়েত দান করুক আমিন,Positive
 আমি কমেন্ট করে গেলাম আমাদের পরের প্রজন্ম এটা থেকে শিক্ষা গ্রহণ করুক আমাদের মত,Positive
তোমার দোয়া কবুল হোক আমিন,Positive
বার দেখছি আবার দেখতে আইছি,Positive
অসাধারণ মিউজিক,Positive
অনেকবার দেখেছি আজও দেখি খুব ভালো লাগে ইশ্বর সকলের মঙ্গল করুক,Positive
আমি চার মাসের প্র্যেগন্যন্ট সবাই আমার জন্য দোয়া করবেন আল্লাহ যেন এবার আমাকে একটা ছেলে সন্তান দেন আমার আরও দুইটি মেয়ে আছে,Positive
আল্লাহর রাস্তায় দেবো আমিন,Positive
সবাই  আমার জন্য দোয়া করবেন,Positive
অনেকবার দেখছি আবারো শুরু করলাম,Positive
আল্লাহ মোহান,Positive
ইউসুফের কাহিনি সুন্দর,Positive
হে মহান কল্যাণ ময় আপনি আমাদের সবার জন্য মঙ্গল ময় মাপ পূর্ণ ময় বিজয় দান জি কত সম্মান বিনেয়ের কথা   সুবহানাল্লাহ   সলাম   সালাম সব সবাই আমার আপন জন আলহামদুলিল্লাহ,Positive
নাইস,Positive
